style,brand,color,price,match_success
CAS,Adidas,NEU,765,1
VIN,Adidas,COL,413,1
CAS,Vans,BLK,275,1
ESP,New Balance,COL,525,0
VIN,Nike,NEU,219,1
VIN,Nike,COL,734,0
VIN,Nike,NEU,665,0
SOC,Adidas,WHT,848,0
VIN,Adidas,COL,158,0
ESP,Nike,NEU,652,1
SOC,Vans,BLK,623,1
VIN,Adidas,WHT,751,0
VIN,Adidas,BLK,489,1
CAS,Vans,WHT,598,0
ESP,Converse,WHT,326,0
ESP,Vans,COL,266,0
SOC,Nike,BLK,857,1
ESP,Nike,NEU,511,1
VIN,New Balance,COL,600,1
ESP,Vans,COL,195,1
ESP,Adidas,NEU,720,1
CAS,Adidas,BLK,528,1
CAS,Nike,BLK,114,1
FAS,Vans,BLK,639,0
VIN,Adidas,NEU,588,0
FAS,Vans,COL,241,0
FAS,New Balance,WHT,786,0
FAS,New Balance,BLK,140,1
FAS,Nike,COL,982,0
CAS,Vans,WHT,655,0
VIN,Nike,BLK,619,0
FAS,Vans,WHT,981,0
ESP,Nike,COL,170,1
FAS,Converse,BLK,680,0
VIN,Adidas,WHT,291,1
SOC,Nike,WHT,247,0
SOC,Vans,NEU,649,0
FAS,Adidas,WHT,795,1
FAS,Vans,NEU,821,1
VIN,Vans,COL,930,1
ESP,Vans,COL,249,1
FAS,Adidas,NEU,207,0
FAS,New Balance,NEU,496,1
CAS,Vans,WHT,733,1
VIN,Adidas,WHT,173,1
FAS,Adidas,NEU,271,1
ESP,Vans,NEU,665,1
CAS,New Balance,COL,722,1
VIN,Vans,BLK,737,0
VIN,Converse,COL,375,0
CAS,New Balance,BLK,466,0
ESP,Nike,BLK,133,0
CAS,Nike,BLK,820,1
VIN,Vans,NEU,783,0
VIN,Nike,BLK,932,1
ESP,Nike,NEU,468,0
SOC,Vans,WHT,579,1
CAS,New Balance,NEU,756,1
ESP,Vans,WHT,239,1
VIN,Nike,COL,939,1
CAS,Converse,WHT,623,0
VIN,New Balance,COL,228,0
FAS,New Balance,COL,422,0
ESP,Converse,NEU,509,0
ESP,Nike,COL,978,0
FAS,Adidas,WHT,899,1
CAS,Nike,WHT,369,1
ESP,Adidas,COL,440,1
VIN,Converse,COL,638,0
SOC,Converse,WHT,184,0
CAS,Vans,COL,996,1
VIN,Nike,COL,476,1
ESP,Vans,COL,959,0
ESP,Nike,COL,969,0
FAS,Nike,COL,432,1
CAS,Adidas,BLK,311,1
ESP,Vans,NEU,713,0
VIN,New Balance,BLK,334,0
FAS,Converse,COL,471,0
CAS,New Balance,NEU,202,0
VIN,New Balance,WHT,968,0
CAS,Nike,COL,613,1
VIN,Adidas,COL,338,1
ESP,Nike,WHT,132,0
FAS,Converse,COL,492,1
CAS,Converse,WHT,568,1
VIN,Adidas,COL,665,1
CAS,Adidas,COL,657,0
FAS,Adidas,COL,793,1
SOC,New Balance,BLK,891,1
FAS,Converse,COL,180,0
ESP,Nike,COL,517,0
ESP,New Balance,NEU,467,1
CAS,Nike,COL,948,0
VIN,Adidas,BLK,647,0
VIN,Adidas,WHT,200,0
VIN,Vans,NEU,890,1
FAS,Nike,COL,317,1
CAS,Adidas,NEU,758,1
SOC,Vans,COL,838,1
SOC,Converse,NEU,941,1
CAS,Vans,BLK,676,1
CAS,Nike,BLK,778,0
ESP,Adidas,WHT,501,1
SOC,Nike,WHT,210,0
FAS,Adidas,WHT,981,0
CAS,Vans,BLK,971,1
ESP,Converse,COL,971,1
VIN,New Balance,BLK,580,0
VIN,Adidas,COL,212,0
FAS,New Balance,NEU,973,1
ESP,New Balance,BLK,455,1
SOC,Adidas,COL,947,0
VIN,Converse,NEU,341,0
VIN,New Balance,WHT,942,1
SOC,New Balance,BLK,788,1
VIN,Vans,WHT,729,1
VIN,Converse,COL,269,1
VIN,New Balance,WHT,604,1
SOC,Nike,WHT,136,0
CAS,Adidas,WHT,310,0
FAS,New Balance,NEU,988,0
ESP,Adidas,COL,742,0
SOC,New Balance,COL,365,0
FAS,Nike,NEU,414,0
ESP,Converse,COL,461,0
ESP,New Balance,WHT,587,1
FAS,Nike,WHT,908,1
VIN,Nike,BLK,700,1
SOC,Converse,COL,645,1
VIN,Converse,BLK,289,1
VIN,Nike,NEU,561,1
FAS,Converse,WHT,569,0
SOC,Vans,BLK,142,1
CAS,New Balance,BLK,389,0
