style,brand,color,price,occasion,match_success
VIN,Vans,BLK,580,casual,1
ESP,Adidas,BLK,509,sport,0
VIN,Vans,COL,954,formal,1
SOC,Adidas,COL,756,formal,0
FAS,Vans,BLK,104,formal,0
VIN,New Balance,BLK,231,casual,0
CAS,Adidas,WHT,239,formal,0
CAS,Nike,WHT,217,sport,1
ESP,Nike,WHT,263,sport,1
FAS,Vans,WHT,601,formal,1
CAS,New Balance,BLK,320,casual,0
VIN,Nike,COL,568,sport,1
ESP,Nike,WHT,978,formal,1
ESP,Nike,NEU,313,casual,0
ESP,Converse,COL,620,formal,1
VIN,New Balance,WHT,327,formal,0
SOC,Converse,BLK,603,casual,0
FAS,Adidas,WHT,194,casual,1
CAS,Adidas,NEU,290,casual,0
ESP,Vans,COL,960,sport,0
VIN,New Balance,BLK,828,sport,0
VIN,Nike,NEU,554,formal,0
SOC,Nike,COL,997,formal,1
SOC,Adidas,NEU,543,casual,0
SOC,Adidas,WHT,869,sport,0
SOC,Nike,BLK,978,casual,1
ESP,Nike,COL,917,sport,1
ESP,Converse,BLK,448,casual,1
VIN,Converse,WHT,457,formal,0
CAS,Adidas,WHT,426,formal,0
FAS,Vans,BLK,568,casual,0
CAS,Adidas,NEU,462,formal,1
CAS,Adidas,NEU,804,casual,1
ESP,Converse,NEU,545,formal,0
FAS,New Balance,NEU,949,formal,1
ESP,New Balance,COL,947,sport,1
VIN,Nike,WHT,369,casual,0
FAS,Converse,BLK,250,formal,1
CAS,Adidas,NEU,545,casual,1
ESP,Vans,WHT,258,casual,1
FAS,Vans,WHT,323,casual,0
ESP,Converse,COL,312,sport,0
SOC,Nike,COL,329,casual,0
FAS,Converse,WHT,950,casual,1
FAS,Adidas,WHT,512,casual,0
VIN,Nike,WHT,527,formal,0
ESP,Vans,BLK,924,casual,1
FAS,Adidas,BLK,961,casual,1
FAS,Vans,BLK,249,formal,1
VIN,New Balance,COL,967,formal,1
VIN,Nike,COL,543,sport,0
ESP,Vans,WHT,193,formal,1
VIN,Converse,BLK,941,sport,0
VIN,Adidas,BLK,917,sport,1
CAS,Vans,NEU,252,formal,1
SOC,Adidas,NEU,273,casual,1
SOC,Nike,BLK,905,formal,0
SOC,Adidas,BLK,701,casual,1
SOC,Nike,COL,323,formal,1
CAS,New Balance,BLK,154,formal,0
FAS,Nike,NEU,782,casual,0
ESP,Adidas,COL,214,casual,1
CAS,New Balance,BLK,138,sport,1
CAS,Converse,BLK,142,casual,0
CAS,Adidas,NEU,876,casual,0
ESP,Adidas,NEU,446,sport,0
SOC,Nike,BLK,607,casual,1
CAS,Converse,COL,441,formal,0
SOC,Converse,BLK,190,casual,1
CAS,Adidas,COL,505,formal,0
FAS,Converse,NEU,252,casual,0
SOC,Nike,NEU,417,casual,0
ESP,Vans,NEU,397,casual,0
VIN,Converse,COL,601,sport,1
CAS,Converse,WHT,799,sport,0
VIN,New Balance,COL,200,formal,1
VIN,New Balance,WHT,505,formal,1
SOC,Converse,COL,810,formal,1
ESP,Adidas,BLK,888,casual,1
SOC,New Balance,NEU,995,formal,0
CAS,New Balance,NEU,586,casual,0
VIN,New Balance,WHT,842,sport,1
FAS,Vans,WHT,269,sport,1
VIN,New Balance,WHT,898,formal,0
FAS,New Balance,NEU,695,formal,1
SOC,Nike,BLK,860,casual,0
VIN,Nike,BLK,716,casual,1
CAS,Adidas,BLK,877,formal,1
CAS,New Balance,NEU,862,formal,1
SOC,Adidas,BLK,133,casual,0
ESP,Nike,NEU,295,sport,1
CAS,Nike,BLK,363,casual,1
ESP,Nike,NEU,850,formal,1
VIN,Adidas,NEU,198,casual,1
SOC,Adidas,WHT,863,casual,0
VIN,New Balance,BLK,686,sport,1
SOC,Nike,COL,389,casual,0
VIN,Adidas,COL,895,casual,0
FAS,Converse,BLK,834,casual,0
FAS,Converse,BLK,829,casual,1
FAS,Nike,NEU,419,sport,0
VIN,Vans,NEU,976,casual,1
ESP,Converse,BLK,325,formal,1
VIN,Adidas,COL,865,formal,1
CAS,Nike,WHT,112,casual,1
VIN,New Balance,WHT,786,casual,0
VIN,Nike,BLK,678,sport,1
CAS,Adidas,BLK,672,formal,1
CAS,Vans,COL,551,sport,0
FAS,New Balance,WHT,849,sport,0
VIN,Converse,BLK,248,formal,1
VIN,Nike,COL,122,casual,0
VIN,Vans,NEU,114,casual,1
VIN,Adidas,WHT,907,formal,0
SOC,Converse,WHT,633,sport,1
FAS,Nike,WHT,780,formal,0
VIN,Adidas,NEU,422,sport,0
SOC,Nike,COL,588,formal,0
CAS,Converse,BLK,500,formal,1
CAS,Converse,BLK,119,formal,1
ESP,Converse,COL,440,casual,1
CAS,Nike,BLK,248,sport,0
ESP,New Balance,NEU,550,casual,1
SOC,New Balance,BLK,552,casual,1
ESP,Adidas,BLK,546,casual,1
VIN,New Balance,BLK,442,casual,0
CAS,Adidas,COL,367,formal,1
SOC,New Balance,WHT,787,sport,0
CAS,Adidas,NEU,975,formal,1
CAS,Nike,COL,346,sport,1
SOC,New Balance,BLK,798,formal,1
CAS,New Balance,BLK,237,casual,0
SOC,Nike,BLK,173,casual,1
CAS,Nike,COL,698,formal,0
SOC,Vans,NEU,201,casual,1
FAS,Converse,WHT,393,sport,1
FAS,New Balance,WHT,322,casual,1
FAS,Nike,NEU,533,sport,0
CAS,Converse,NEU,862,formal,0
FAS,Converse,WHT,953,sport,0
FAS,Vans,COL,346,casual,0
FAS,Adidas,WHT,135,sport,1
FAS,New Balance,WHT,114,sport,1
FAS,Nike,NEU,834,casual,1
SOC,Vans,COL,551,sport,0
SOC,Adidas,BLK,801,casual,1
VIN,Adidas,BLK,143,sport,1
VIN,Nike,COL,533,formal,0
FAS,Adidas,NEU,305,sport,1
CAS,Adidas,NEU,805,sport,1
CAS,New Balance,NEU,860,formal,0
SOC,Converse,WHT,979,formal,0
VIN,Nike,COL,628,casual,1
ESP,New Balance,COL,933,casual,1
FAS,Adidas,COL,127,sport,1
VIN,Converse,WHT,212,formal,0
ESP,Converse,COL,804,formal,0
SOC,Adidas,COL,682,sport,1
CAS,Converse,NEU,589,formal,1
VIN,Adidas,COL,506,sport,1
ESP,Nike,NEU,359,sport,0
ESP,Converse,COL,461,formal,0
VIN,Adidas,COL,197,sport,1
SOC,Vans,BLK,453,formal,0
SOC,Converse,NEU,264,casual,1
CAS,Vans,WHT,226,casual,1
CAS,Vans,NEU,710,sport,0
SOC,Adidas,COL,522,sport,1
SOC,New Balance,WHT,980,casual,1
SOC,Vans,BLK,348,casual,0
ESP,Nike,WHT,637,formal,1
CAS,Vans,NEU,244,casual,1
FAS,New Balance,WHT,287,formal,1
SOC,Nike,COL,535,formal,0
CAS,Adidas,NEU,820,casual,1
FAS,Adidas,NEU,884,sport,0
ESP,Nike,BLK,466,formal,1
SOC,New Balance,BLK,825,casual,1
ESP,Nike,BLK,657,formal,0
ESP,New Balance,COL,562,casual,1
CAS,Adidas,NEU,810,sport,0
CAS,Converse,COL,123,formal,1
CAS,New Balance,WHT,121,sport,1
CAS,Converse,COL,252,formal,1
VIN,Vans,NEU,281,casual,1
CAS,Converse,WHT,888,casual,1
ESP,Adidas,WHT,729,sport,1
SOC,Nike,WHT,526,formal,1
ESP,Vans,COL,442,casual,1
SOC,Vans,WHT,900,casual,0
SOC,Adidas,NEU,601,sport,1
CAS,New Balance,COL,319,sport,0
SOC,New Balance,BLK,268,formal,0
ESP,Converse,WHT,480,formal,1
SOC,New Balance,WHT,329,casual,0
VIN,Nike,WHT,987,sport,1
ESP,Converse,WHT,383,casual,1
CAS,Converse,WHT,984,casual,0
SOC,Converse,NEU,956,formal,0
ESP,Vans,COL,458,casual,0
VIN,Nike,NEU,562,casual,0
SOC,Adidas,WHT,993,formal,1
ESP,New Balance,BLK,499,casual,0
ESP,Nike,BLK,811,sport,0
SOC,Adidas,COL,235,sport,0
CAS,Vans,BLK,304,formal,1
FAS,New Balance,WHT,786,formal,0
CAS,Converse,WHT,837,casual,1
ESP,Vans,COL,859,sport,1
SOC,New Balance,COL,454,sport,0
SOC,New Balance,COL,587,casual,0
FAS,New Balance,NEU,397,casual,1
FAS,Converse,COL,200,sport,1
SOC,Nike,COL,762,sport,0
CAS,Converse,BLK,745,sport,1
FAS,Adidas,NEU,678,casual,1
ESP,Vans,BLK,318,casual,1
VIN,Adidas,NEU,132,formal,0
CAS,Vans,NEU,842,formal,0
FAS,Nike,WHT,952,casual,0
VIN,Vans,NEU,398,formal,1
SOC,Nike,WHT,781,formal,0
FAS,Vans,BLK,981,sport,1
FAS,Nike,COL,481,casual,1
ESP,Nike,COL,808,sport,0
SOC,Nike,BLK,593,formal,0
SOC,Nike,BLK,926,formal,1
FAS,Vans,COL,840,formal,1
CAS,Vans,COL,388,formal,1
CAS,Vans,NEU,722,formal,0
SOC,Adidas,BLK,247,casual,0
SOC,Vans,WHT,681,formal,1
CAS,Converse,COL,935,sport,1
FAS,Vans,NEU,459,casual,0
SOC,New Balance,BLK,308,casual,1
SOC,Adidas,COL,984,sport,0
CAS,Vans,WHT,773,formal,1
FAS,Converse,WHT,505,formal,1
CAS,Vans,WHT,355,sport,0
VIN,Adidas,NEU,947,casual,1
ESP,Adidas,BLK,340,sport,0
ESP,Vans,NEU,229,formal,0
CAS,Converse,WHT,296,casual,1
FAS,Nike,COL,699,casual,1
FAS,Converse,COL,580,formal,1
FAS,Converse,NEU,843,formal,1
SOC,Nike,BLK,890,formal,1
VIN,Vans,WHT,661,formal,0
SOC,Vans,WHT,512,casual,0
SOC,Adidas,NEU,894,formal,1
CAS,Converse,WHT,310,sport,0
ESP,Adidas,BLK,816,casual,1
ESP,New Balance,NEU,268,formal,1
CAS,Vans,COL,210,sport,1
ESP,Vans,NEU,991,sport,0
CAS,Converse,WHT,418,sport,1
ESP,Converse,BLK,258,sport,1
FAS,Nike,COL,781,casual,0
SOC,Converse,WHT,871,formal,1
ESP,Adidas,BLK,356,casual,1
FAS,New Balance,BLK,286,sport,0
ESP,Nike,BLK,673,sport,1
CAS,Vans,WHT,296,casual,1
FAS,Nike,NEU,924,formal,1
VIN,Converse,COL,562,sport,1
FAS,Adidas,BLK,714,casual,1
FAS,Converse,NEU,897,formal,0
SOC,Vans,BLK,195,casual,0
CAS,Nike,NEU,654,formal,1
SOC,Adidas,WHT,605,formal,0
ESP,Vans,COL,913,formal,1
SOC,Adidas,NEU,661,casual,0
ESP,Adidas,COL,768,sport,1
FAS,Converse,COL,872,sport,1
CAS,Adidas,BLK,618,formal,1
VIN,New Balance,BLK,120,sport,0
ESP,Vans,NEU,780,sport,1
CAS,Adidas,NEU,190,casual,0
VIN,Adidas,NEU,922,sport,1
VIN,New Balance,WHT,605,sport,1
ESP,Vans,BLK,458,casual,1
ESP,Converse,WHT,896,sport,0
CAS,Nike,NEU,514,casual,0
FAS,New Balance,COL,425,formal,1
CAS,New Balance,COL,237,casual,0
FAS,Adidas,BLK,956,formal,0
CAS,Converse,BLK,700,casual,0
CAS,Vans,COL,221,formal,0
VIN,New Balance,COL,233,casual,1
FAS,Adidas,NEU,259,sport,1
FAS,Nike,NEU,141,casual,0
SOC,Nike,COL,884,casual,1
VIN,Nike,NEU,939,formal,1
ESP,Vans,NEU,178,sport,1
SOC,Adidas,COL,955,sport,0
FAS,Vans,COL,576,sport,1
FAS,New Balance,WHT,673,casual,0
FAS,Adidas,NEU,162,formal,1
VIN,Converse,BLK,130,casual,0
VIN,Adidas,BLK,410,formal,1
VIN,Nike,BLK,249,formal,1
VIN,New Balance,NEU,825,sport,1
VIN,Nike,COL,223,formal,0
FAS,Converse,COL,612,sport,1
ESP,Adidas,NEU,878,casual,0
ESP,New Balance,BLK,984,casual,1
FAS,Nike,NEU,981,formal,1
ESP,Vans,WHT,872,formal,0
VIN,Adidas,NEU,583,sport,0
SOC,Vans,NEU,374,sport,0
CAS,Adidas,COL,176,sport,0
SOC,Adidas,COL,182,sport,0
CAS,New Balance,WHT,480,formal,1
SOC,Converse,BLK,747,casual,1
CAS,New Balance,BLK,368,formal,1
VIN,Adidas,WHT,429,sport,0
SOC,Adidas,BLK,452,formal,1
ESP,Adidas,NEU,241,casual,0
VIN,Converse,WHT,188,casual,1
VIN,Vans,NEU,155,sport,1
CAS,Adidas,COL,872,formal,1
FAS,Nike,NEU,650,sport,1
ESP,Nike,WHT,284,casual,0
ESP,Adidas,COL,398,formal,1
SOC,New Balance,NEU,138,sport,0
CAS,Adidas,BLK,401,casual,1
VIN,Nike,WHT,741,sport,1
VIN,Converse,NEU,717,formal,1
FAS,New Balance,NEU,501,sport,1
FAS,Converse,COL,505,sport,0
SOC,New Balance,BLK,687,formal,0
VIN,Adidas,NEU,155,formal,1
VIN,Converse,COL,864,casual,1
FAS,Converse,NEU,257,casual,0
VIN,Adidas,WHT,125,sport,1
SOC,Adidas,BLK,859,casual,0
ESP,New Balance,WHT,502,formal,1
VIN,Adidas,COL,758,sport,1
ESP,New Balance,COL,203,casual,0
VIN,Adidas,WHT,105,casual,1
FAS,Nike,COL,252,sport,1
VIN,Nike,NEU,209,casual,0
CAS,Converse,WHT,656,formal,0
CAS,Nike,COL,911,formal,0
FAS,New Balance,WHT,805,formal,1
SOC,Nike,BLK,196,sport,0
SOC,Converse,BLK,832,formal,0
CAS,Nike,WHT,174,sport,1
ESP,Converse,NEU,505,formal,1
ESP,New Balance,BLK,744,formal,0
FAS,Nike,COL,824,formal,1
FAS,Adidas,NEU,787,formal,0
ESP,Vans,BLK,741,formal,1
FAS,Vans,BLK,415,sport,0
ESP,Adidas,NEU,692,formal,1
FAS,Nike,NEU,671,formal,1
SOC,Adidas,BLK,513,casual,1
VIN,New Balance,COL,508,formal,0
FAS,New Balance,NEU,971,casual,1
VIN,Vans,COL,191,casual,1
VIN,Vans,BLK,959,sport,0
CAS,Vans,WHT,517,formal,1
CAS,Adidas,WHT,270,formal,1
VIN,Adidas,BLK,110,casual,1
FAS,Adidas,BLK,545,casual,1
FAS,Nike,NEU,658,sport,1
FAS,Converse,NEU,907,sport,0
ESP,New Balance,COL,915,casual,1
SOC,Adidas,BLK,525,sport,1
SOC,Nike,NEU,872,sport,1
CAS,Adidas,COL,371,sport,0
FAS,Vans,WHT,461,sport,0
CAS,Converse,WHT,791,formal,0
VIN,Nike,WHT,511,casual,1
CAS,Nike,WHT,539,formal,1
CAS,New Balance,NEU,535,casual,1
ESP,Adidas,BLK,639,casual,1
VIN,Adidas,NEU,772,casual,0
ESP,Converse,WHT,109,sport,1
CAS,Adidas,COL,120,casual,1
CAS,Nike,COL,607,sport,1
VIN,Nike,NEU,859,formal,0
ESP,Nike,BLK,462,casual,1
VIN,New Balance,NEU,730,casual,1
VIN,Nike,BLK,970,formal,1
FAS,New Balance,BLK,893,sport,1
ESP,Vans,WHT,555,casual,1
ESP,Adidas,WHT,700,casual,0
SOC,Vans,WHT,800,sport,1
FAS,Adidas,COL,925,sport,0
CAS,Vans,COL,893,sport,0
CAS,Nike,BLK,825,casual,0
CAS,Converse,BLK,281,sport,0
CAS,Vans,BLK,433,sport,0
ESP,Adidas,BLK,706,formal,1
SOC,Nike,NEU,592,formal,1
CAS,Vans,WHT,562,sport,1
SOC,Vans,WHT,432,formal,1
ESP,Vans,COL,201,casual,0
FAS,Nike,WHT,591,formal,0
CAS,Vans,WHT,814,formal,0
CAS,New Balance,WHT,896,formal,1
VIN,Converse,NEU,594,formal,0
VIN,Adidas,COL,963,casual,0
CAS,Adidas,NEU,950,sport,0
SOC,Adidas,BLK,332,sport,0
SOC,Nike,BLK,518,casual,1
ESP,Vans,COL,196,casual,0
SOC,Converse,WHT,834,casual,1
SOC,New Balance,COL,575,casual,1
SOC,Nike,NEU,967,casual,1
CAS,Adidas,BLK,849,formal,1
FAS,Converse,BLK,338,sport,1
ESP,Vans,COL,970,formal,0
CAS,Converse,NEU,466,casual,1
SOC,Adidas,COL,657,sport,0
FAS,Adidas,BLK,247,sport,0
FAS,Adidas,NEU,625,casual,1
ESP,Converse,COL,369,sport,1
SOC,Vans,WHT,284,sport,1
SOC,Adidas,COL,264,casual,0
SOC,Adidas,COL,798,formal,1
SOC,New Balance,BLK,407,casual,0
SOC,Vans,BLK,895,sport,1
ESP,Converse,NEU,229,sport,1
CAS,New Balance,BLK,905,formal,0
FAS,Vans,COL,583,sport,1
VIN,Adidas,WHT,508,formal,1
ESP,Vans,WHT,167,sport,1
SOC,New Balance,COL,740,casual,0
SOC,Vans,COL,274,formal,1
VIN,Adidas,WHT,863,sport,0
CAS,New Balance,WHT,958,casual,1
ESP,Adidas,COL,220,formal,0
VIN,Adidas,NEU,501,sport,1
SOC,Nike,BLK,240,sport,1
FAS,Vans,NEU,865,sport,0
CAS,New Balance,COL,221,formal,0
VIN,New Balance,NEU,467,formal,0
VIN,Converse,COL,420,sport,1
ESP,Adidas,WHT,509,sport,1
FAS,Converse,COL,942,casual,1
ESP,Vans,WHT,677,formal,1
SOC,New Balance,BLK,670,formal,1
SOC,Nike,NEU,266,sport,0
VIN,New Balance,WHT,153,sport,1
FAS,Adidas,WHT,398,formal,1
ESP,New Balance,WHT,135,formal,1
FAS,Adidas,BLK,761,sport,1
ESP,Nike,NEU,861,casual,1
FAS,New Balance,WHT,598,casual,1
ESP,New Balance,BLK,618,formal,1
VIN,Adidas,BLK,265,formal,0
CAS,Vans,NEU,468,casual,1
VIN,Nike,NEU,856,casual,1
CAS,Converse,COL,885,formal,1
VIN,Nike,WHT,955,casual,1
VIN,Adidas,NEU,643,formal,0
SOC,Vans,BLK,651,sport,0
SOC,Converse,BLK,823,sport,1
FAS,Adidas,WHT,567,formal,0
ESP,Nike,WHT,162,formal,1
SOC,Adidas,COL,718,formal,0
ESP,Nike,WHT,479,sport,0
FAS,New Balance,NEU,917,casual,0
VIN,Converse,COL,840,sport,0
VIN,New Balance,WHT,872,sport,0
CAS,Converse,NEU,858,sport,0
ESP,Adidas,BLK,543,formal,0
VIN,Adidas,WHT,814,casual,1
CAS,Nike,NEU,849,formal,1
ESP,Vans,BLK,316,casual,0
SOC,Converse,BLK,190,formal,0
VIN,Vans,NEU,267,casual,1
CAS,Converse,NEU,913,casual,1
VIN,Vans,COL,846,casual,0
SOC,Adidas,NEU,796,formal,0
ESP,New Balance,BLK,467,formal,1
CAS,Vans,WHT,429,sport,1
ESP,Vans,WHT,888,sport,1
FAS,Nike,BLK,304,casual,1
FAS,Converse,NEU,586,sport,1
ESP,Nike,NEU,807,formal,1
CAS,Adidas,NEU,384,sport,0
ESP,Converse,NEU,664,formal,1
SOC,New Balance,BLK,969,formal,1
ESP,New Balance,BLK,316,sport,0
SOC,Converse,WHT,814,casual,0
ESP,New Balance,NEU,861,sport,0
FAS,Vans,COL,767,casual,1
CAS,Vans,BLK,890,sport,1
VIN,Nike,NEU,745,formal,0
ESP,Converse,COL,474,casual,1
FAS,Adidas,NEU,563,formal,1
SOC,Converse,BLK,645,sport,1
VIN,Vans,NEU,171,casual,1
FAS,Adidas,WHT,924,casual,0
ESP,Adidas,BLK,714,casual,1
CAS,Converse,BLK,177,formal,0
CAS,Vans,WHT,822,casual,0
SOC,Vans,BLK,271,casual,1
FAS,Converse,NEU,907,sport,1
SOC,Vans,WHT,307,casual,1
VIN,Adidas,NEU,461,sport,1
VIN,Converse,COL,394,formal,1
FAS,New Balance,BLK,731,formal,1
FAS,Converse,BLK,300,sport,0
ESP,Converse,NEU,244,formal,1
SOC,Vans,NEU,225,casual,1
CAS,Vans,WHT,124,sport,0
FAS,Adidas,NEU,188,sport,0
FAS,Nike,BLK,123,formal,0
FAS,Vans,BLK,179,casual,0
VIN,Adidas,BLK,777,formal,0
VIN,New Balance,NEU,847,casual,1
FAS,Vans,COL,959,casual,0
FAS,New Balance,COL,459,sport,1
FAS,Adidas,NEU,300,casual,0
ESP,Vans,COL,262,sport,1
CAS,Nike,NEU,752,sport,1
ESP,Nike,NEU,582,casual,0
ESP,Vans,NEU,276,sport,0
CAS,Adidas,BLK,885,casual,1
VIN,Adidas,WHT,172,sport,1
CAS,Nike,NEU,243,formal,0
ESP,New Balance,COL,198,sport,1
ESP,Vans,BLK,871,sport,0
SOC,Adidas,COL,284,sport,0
SOC,Adidas,NEU,944,casual,0
FAS,Vans,NEU,213,casual,1
SOC,Nike,BLK,374,sport,0
CAS,New Balance,COL,555,sport,1
VIN,Converse,BLK,390,casual,1
CAS,Converse,BLK,117,formal,0
ESP,Converse,WHT,528,formal,1
SOC,Nike,WHT,285,formal,1
ESP,New Balance,NEU,921,formal,1
ESP,New Balance,WHT,595,formal,0
VIN,Nike,NEU,808,formal,1
CAS,New Balance,COL,302,formal,1
VIN,Converse,NEU,622,sport,0
CAS,Adidas,COL,572,sport,1
ESP,Adidas,BLK,426,formal,1
FAS,New Balance,COL,161,casual,0
FAS,Vans,COL,250,casual,0
VIN,Converse,NEU,873,formal,1
FAS,Adidas,NEU,362,formal,0
FAS,Vans,NEU,477,formal,1
ESP,Converse,WHT,420,casual,1
ESP,Adidas,BLK,246,casual,1
CAS,Adidas,NEU,474,formal,0
VIN,Converse,NEU,699,formal,1
CAS,New Balance,BLK,192,sport,1
CAS,Adidas,COL,504,formal,1
VIN,Vans,BLK,868,casual,1
SOC,Converse,BLK,293,formal,0
SOC,Nike,BLK,564,casual,1
CAS,Nike,NEU,555,casual,1
CAS,Vans,NEU,635,sport,1
ESP,New Balance,NEU,324,formal,1
CAS,Nike,WHT,247,formal,1
VIN,Adidas,BLK,938,formal,0
FAS,New Balance,NEU,573,formal,0
SOC,Adidas,COL,396,formal,0
FAS,New Balance,COL,898,casual,1
SOC,Converse,BLK,323,sport,0
FAS,Nike,NEU,233,sport,1
CAS,Nike,NEU,972,casual,0
SOC,Vans,WHT,758,casual,1
VIN,Converse,BLK,691,sport,1
ESP,New Balance,NEU,347,formal,0
CAS,Vans,COL,721,casual,1
FAS,New Balance,WHT,937,sport,0
VIN,Converse,NEU,890,casual,0
VIN,Nike,BLK,786,casual,1
FAS,Nike,NEU,675,formal,0
FAS,Adidas,WHT,391,sport,1
FAS,Nike,BLK,631,casual,1
ESP,Vans,COL,217,formal,0
SOC,Vans,COL,761,formal,0
ESP,Vans,BLK,587,sport,1
FAS,Converse,WHT,586,casual,0
SOC,Converse,WHT,566,formal,0
FAS,Nike,COL,849,casual,1
ESP,Vans,COL,527,sport,1
VIN,Converse,WHT,231,casual,1
SOC,New Balance,COL,396,sport,1
VIN,Adidas,BLK,866,formal,1
FAS,Converse,WHT,720,casual,1
CAS,Vans,WHT,620,sport,0
CAS,Nike,WHT,462,formal,0
CAS,Adidas,WHT,105,sport,1
SOC,Vans,COL,844,sport,1
SOC,New Balance,WHT,827,formal,0
FAS,Converse,BLK,259,casual,0
FAS,Nike,WHT,463,casual,0
ESP,New Balance,WHT,432,formal,1
ESP,New Balance,BLK,152,casual,0
FAS,Nike,COL,333,casual,0
FAS,Nike,WHT,631,sport,0
ESP,Vans,BLK,269,sport,0
CAS,Converse,COL,879,sport,1
FAS,Nike,BLK,563,casual,0
VIN,Nike,COL,777,formal,0
CAS,Nike,COL,900,sport,1
FAS,Adidas,COL,748,formal,0
SOC,Converse,BLK,204,formal,0
SOC,Adidas,COL,735,casual,1
FAS,Adidas,BLK,323,sport,1
FAS,Vans,WHT,287,formal,1
ESP,Converse,BLK,924,casual,0
ESP,New Balance,BLK,295,sport,0
VIN,Adidas,BLK,679,formal,0
FAS,Nike,COL,716,formal,0
ESP,Adidas,COL,854,sport,1
SOC,New Balance,NEU,574,formal,1
VIN,Nike,COL,393,sport,0
SOC,New Balance,NEU,675,formal,1
SOC,Adidas,COL,671,formal,1
FAS,New Balance,NEU,569,casual,1
CAS,Converse,BLK,883,formal,1
SOC,Adidas,COL,453,formal,1
SOC,Converse,COL,359,casual,0
VIN,Adidas,BLK,172,sport,0
VIN,Adidas,BLK,806,formal,0
CAS,Vans,WHT,729,sport,0
SOC,Adidas,BLK,817,casual,0
FAS,Nike,NEU,310,formal,1
VIN,Vans,BLK,145,formal,0
ESP,Nike,COL,722,sport,0
ESP,Adidas,NEU,736,casual,0
SOC,Vans,COL,916,casual,1
CAS,Adidas,WHT,448,formal,1
SOC,Nike,WHT,245,formal,0
FAS,Vans,BLK,354,sport,1
FAS,Converse,BLK,354,sport,0
VIN,Adidas,COL,375,sport,1
SOC,Converse,WHT,857,sport,1
VIN,New Balance,WHT,728,casual,1
FAS,New Balance,NEU,247,sport,1
ESP,Nike,NEU,975,formal,1
VIN,New Balance,BLK,824,sport,1
VIN,Vans,WHT,289,formal,1
CAS,Vans,BLK,109,sport,1
CAS,New Balance,COL,657,formal,0
FAS,Vans,WHT,522,casual,0
CAS,Adidas,COL,331,casual,0
VIN,Converse,COL,655,casual,1
FAS,New Balance,BLK,145,formal,1
FAS,Converse,COL,657,formal,0
FAS,Converse,WHT,222,formal,0
SOC,Nike,BLK,554,sport,0
VIN,New Balance,BLK,964,sport,1
SOC,Converse,NEU,594,casual,0
ESP,Vans,NEU,176,formal,1
VIN,New Balance,NEU,866,sport,0
VIN,Converse,WHT,972,casual,1
VIN,Nike,WHT,949,sport,0
CAS,Adidas,BLK,784,formal,1
VIN,Adidas,BLK,561,sport,1
ESP,Nike,NEU,391,casual,1
VIN,Vans,COL,570,formal,1
CAS,Vans,BLK,632,formal,1
ESP,New Balance,COL,760,sport,1
FAS,Vans,NEU,775,formal,0
FAS,Vans,NEU,750,formal,1
FAS,Adidas,NEU,201,formal,0
ESP,Converse,BLK,838,casual,0
FAS,Adidas,COL,388,sport,0
FAS,Adidas,BLK,955,sport,1
ESP,Adidas,BLK,557,formal,1
ESP,New Balance,NEU,412,sport,0
SOC,Vans,WHT,534,formal,1
CAS,Adidas,WHT,160,formal,1
FAS,New Balance,COL,385,casual,1
FAS,Adidas,BLK,471,casual,1
VIN,Nike,BLK,919,formal,0
SOC,Nike,NEU,488,casual,1
VIN,Nike,WHT,323,casual,1
ESP,Adidas,COL,697,formal,1
CAS,Nike,NEU,290,casual,0
FAS,Adidas,COL,951,formal,1
ESP,Vans,BLK,266,casual,0
CAS,New Balance,WHT,466,sport,0
ESP,Vans,WHT,170,sport,0
ESP,Adidas,WHT,299,formal,1
CAS,Converse,WHT,592,formal,1
FAS,Adidas,WHT,996,sport,0
CAS,New Balance,NEU,230,sport,0
SOC,Adidas,NEU,694,casual,1
ESP,Converse,BLK,606,sport,0
CAS,Vans,COL,887,sport,0
VIN,Vans,COL,531,formal,1
ESP,Nike,WHT,271,casual,0
ESP,Nike,WHT,393,formal,0
CAS,Converse,COL,572,casual,1
CAS,Nike,BLK,600,sport,1
FAS,Nike,BLK,750,casual,1
CAS,Nike,COL,993,sport,1
FAS,New Balance,NEU,578,formal,1
CAS,New Balance,BLK,331,sport,1
FAS,Adidas,NEU,732,sport,1
CAS,Nike,NEU,489,sport,1
VIN,Vans,WHT,244,sport,1
SOC,New Balance,BLK,132,sport,0
SOC,Vans,BLK,860,casual,0
FAS,Vans,WHT,163,sport,1
FAS,New Balance,BLK,467,sport,1
CAS,Adidas,COL,383,casual,1
ESP,Nike,COL,129,sport,1
VIN,Vans,COL,510,casual,0
CAS,Adidas,COL,346,casual,1
ESP,New Balance,WHT,116,sport,1
FAS,Nike,WHT,963,casual,1
VIN,Adidas,BLK,139,casual,0
FAS,New Balance,COL,464,sport,1
CAS,Adidas,BLK,162,sport,1
FAS,New Balance,BLK,855,sport,0
ESP,Converse,NEU,714,casual,0
ESP,New Balance,WHT,593,formal,0
ESP,Vans,COL,543,casual,0
ESP,Vans,BLK,685,formal,1
VIN,Nike,WHT,208,sport,0
VIN,Nike,NEU,126,sport,0
ESP,Nike,BLK,590,sport,0
ESP,Converse,NEU,706,formal,1
VIN,Converse,COL,713,casual,1
SOC,Converse,BLK,692,sport,1
